"Attack","HP","annotation_id","annotator","choice","created_at","id","lead_time","updated_at"
49,45,1,"1","0","2024-06-04T06:35:51.416639Z",1,6.462,"2024-06-04T06:35:51.416639Z"
82,80,30,"1","1","2024-06-04T06:44:26.860273Z",3,13.537,"2024-06-04T06:44:26.860273Z"
100,80,31,"1","1","2024-06-04T06:44:29.770491Z",4,2.735,"2024-06-04T06:44:29.770491Z"
84,78,32,"1","1","2024-06-04T06:44:32.664751Z",7,2.722,"2024-06-04T06:44:32.664751Z"
130,78,33,"1","1","2024-06-04T06:44:38.069299Z",8,5.237,"2024-06-04T06:44:38.069299Z"
104,78,34,"1","1","2024-06-04T06:44:40.055987Z",9,1.818,"2024-06-04T06:44:40.055987Z"
48,44,5,"1","0","2024-06-04T06:40:42.264872Z",10,3.297,"2024-06-04T06:40:42.264872Z"
83,79,6,"1","0","2024-06-04T06:41:11.191518Z",12,2.743,"2024-06-04T06:41:11.191518Z"
30,45,7,"1","","2024-06-04T06:41:13.027608Z",14,1.681,"2024-06-04T06:41:13.027608Z"
20,50,8,"1","0","2024-06-04T06:42:22.691318Z",15,7.437,"2024-06-04T06:42:22.691318Z"
45,60,9,"1","","2024-06-04T06:42:23.888118Z",16,1.042,"2024-06-04T06:42:23.888118Z"
35,40,10,"1","","2024-06-04T06:42:24.261120Z",17,0.204,"2024-06-04T06:42:24.261120Z"
25,45,11,"1","","2024-06-04T06:42:24.582261Z",18,0.161,"2024-06-04T06:42:24.582261Z"
90,65,35,"1","1","2024-06-04T06:44:41.913021Z",19,1.691,"2024-06-04T06:44:41.913021Z"
150,65,36,"1","1","2024-06-04T06:44:43.680294Z",20,1.606,"2024-06-04T06:44:43.680294Z"
45,40,12,"1","","2024-06-04T06:42:25.146752Z",21,0.402,"2024-06-04T06:42:25.146752Z"
60,63,27,"1","0","2024-06-04T06:43:21.894999Z",22,3.05,"2024-06-04T06:43:21.894999Z"
80,83,37,"1","1","2024-06-04T06:44:45.377755Z",23,1.531,"2024-06-04T06:44:45.377755Z"
80,83,38,"1","1","2024-06-04T06:44:51.069535Z",24,5.523,"2024-06-04T06:44:51.069535Z"
56,30,28,"1","0","2024-06-04T06:43:23.642326Z",25,1.583,"2024-06-04T06:43:23.642326Z"
81,55,39,"1","1","2024-06-04T06:44:55.439848Z",26,4.208,"2024-06-04T06:44:55.439848Z"
60,40,13,"1","","2024-06-04T06:42:28.768067Z",27,3.465,"2024-06-04T06:42:28.768067Z"
90,65,40,"1","1","2024-06-04T06:44:58.052860Z",28,2.444,"2024-06-04T06:44:58.053858Z"
60,35,14,"1","","2024-06-04T06:42:29.385417Z",29,0.457,"2024-06-04T06:42:29.385417Z"
85,60,41,"1","1","2024-06-04T06:44:59.855041Z",30,1.636,"2024-06-04T06:44:59.855041Z"
55,35,15,"1","","2024-06-04T06:42:29.734483Z",31,0.189,"2024-06-04T06:42:29.734483Z"
90,60,42,"1","1","2024-06-04T06:45:02.230688Z",32,2.206,"2024-06-04T06:45:02.230688Z"
75,50,16,"1","","2024-06-04T06:42:30.699902Z",33,0.804,"2024-06-04T06:42:30.699902Z"
100,75,43,"1","1","2024-06-04T06:45:04.555471Z",34,2.158,"2024-06-04T06:45:04.555471Z"
47,55,17,"1","","2024-06-04T06:42:31.118782Z",35,0.26,"2024-06-04T06:42:31.118782Z"
62,70,18,"1","","2024-06-04T06:42:32.058270Z",36,0.782,"2024-06-04T06:42:32.058270Z"
92,90,44,"1","1","2024-06-04T06:45:07.693081Z",37,2.974,"2024-06-04T06:45:07.693081Z"
57,46,29,"1","0","2024-06-04T06:43:25.451489Z",38,1.657,"2024-06-04T06:43:25.451489Z"
72,61,19,"1","","2024-06-04T06:42:32.516045Z",39,0.306,"2024-06-04T06:42:32.516045Z"
102,81,45,"1","1","2024-06-04T06:45:11.714328Z",40,3.853,"2024-06-04T06:45:11.714328Z"
45,70,20,"1","","2024-06-04T06:42:32.993768Z",41,0.317,"2024-06-04T06:42:32.993768Z"
70,95,46,"1","1","2024-06-04T06:45:20.067989Z",42,8.194,"2024-06-04T06:45:20.067989Z"
41,38,21,"1","","2024-06-04T06:42:33.643032Z",43,0.483,"2024-06-04T06:42:33.643032Z"
76,73,22,"1","","2024-06-04T06:42:34.159650Z",44,0.347,"2024-06-04T06:42:34.159650Z"
45,115,47,"1","1","2024-06-04T06:45:21.831274Z",45,1.596,"2024-06-04T06:45:21.831274Z"
70,140,48,"1","1","2024-06-04T06:45:23.743161Z",46,1.746,"2024-06-04T06:45:23.743161Z"
45,40,23,"1","","2024-06-04T06:42:34.668289Z",47,0.347,"2024-06-04T06:42:34.668289Z"
80,75,49,"1","1","2024-06-04T06:45:25.581246Z",48,1.663,"2024-06-04T06:45:25.581246Z"
50,45,24,"1","0","2024-06-04T06:42:37.414945Z",49,2.588,"2024-06-04T06:42:37.414945Z"
65,60,25,"1","0","2024-06-04T06:42:39.557216Z",50,1.974,"2024-06-04T06:42:39.557216Z"
80,75,50,"1","1","2024-06-04T06:45:27.359491Z",51,1.622,"2024-06-04T06:45:27.359491Z"
70,35,26,"1","0","2024-06-04T06:42:41.469103Z",52,1.744,"2024-06-04T06:42:41.469103Z"
